#Identifier	Prediction	Probability	anchor position
FGRAMPH1_01T00055	Non-effector	1	 V-657
FGRAMPH1_01T11857	Non-effector	1	 N-362
FGRAMPH1_01T11447	Non-effector	1	 S-636
FGRAMPH1_01T22379	Non-effector	1	 S-742
FGRAMPH1_01T12611	Non-effector	0.898	 N-148
FGRAMPH1_01T00569	Non-effector	0.999	 S-197
FGRAMPH1_01T06523	Non-effector	1	 S-454
FGRAMPH1_01T07853	Non-effector	1	 S-757
FGRAMPH1_01T12689	Non-effector	1	 D-365
FGRAMPH1_01T13931	Non-effector	1	 N-629
FGRAMPH1_01T14155	Non-effector	0.925	 A-246
FGRAMPH1_01T14163	Non-effector	1	 N-789
FGRAMPH1_01T14273	Non-effector	1	 S-191
FGRAMPH1_01T18389	Non-effector	1	 N-320
FGRAMPH1_01T18575	Non-effector	0.98	 N-181
FGRAMPH1_01T22661	Non-effector	1	 N-404
FGRAMPH1_01T01467	Non-effector	0.806	 N-242
FGRAMPH1_01T03375	Non-effector	0.999	 H-212
FGRAMPH1_01T06391	Non-effector	0.999	 N-328
FGRAMPH1_01T06917	Non-effector	0.52	 N-143
FGRAMPH1_01T07345	Non-effector	0.992	 A-133
FGRAMPH1_01T10313	Non-effector	1	 S-437
FGRAMPH1_01T14417	Non-effector	0.98	 N-258
FGRAMPH1_01T17547	Non-effector	1	 S-387
FGRAMPH1_01T19425	Non-effector	1	 S-262
FGRAMPH1_01T20393	Non-effector	1	 N-487
FGRAMPH1_01T20431	Non-effector	1	 T-207
FGRAMPH1_01T26591	Non-effector	0.999	 N-202
FGRAMPH1_01T27079	Non-effector	1	 N-107
FGRAMPH1_01T27181	Non-effector	0.805	 N-179
FGRAMPH1_01T27423	Non-effector	1	 S-222
FGRAMPH1_01T27457	Non-effector	1	 N-411
FGRAMPH1_01T16399	Non-effector	1	 N-675
FGRAMPH1_01T08413	Non-effector	0.967	 A-226
FGRAMPH1_01T03877	Non-effector	1	 V-701
FGRAMPH1_01T08497	Non-effector	1	 N-174
FGRAMPH1_01T13957	Non-effector	1	 V-443
FGRAMPH1_01T14795	Non-effector	1	 S-270
FGRAMPH1_01T19815	Effector	0.98	 V-194
FGRAMPH1_01T11953	Effector	0.931	 D-171
FGRAMPH1_01T13649	Non-effector	1	 A-412
FGRAMPH1_01T13765	Non-effector	0.996	 S-183
FGRAMPH1_01T14039	Non-effector	1	 N-610
FGRAMPH1_01T05731	Non-effector	1	 N-212
FGRAMPH1_01T11395	Non-effector	1	 S-646
FGRAMPH1_01T12657	Non-effector	1	 N-361
FGRAMPH1_01T12781	Non-effector	1	 S-400
FGRAMPH1_01T15533	Effector	0.998	 N-111
FGRAMPH1_01T16199	Non-effector	1	 S-381
FGRAMPH1_01T18875	Non-effector	1	 S-228
FGRAMPH1_01T19311	Non-effector	1	 T-263
FGRAMPH1_01T20979	Non-effector	1	 Q-182
FGRAMPH1_01T22135	Non-effector	1	 P-302
FGRAMPH1_01T22603	Non-effector	1	 S-287
FGRAMPH1_01T01083	Non-effector	0.914	 S-254
FGRAMPH1_01T01249	Non-effector	1	 S-249
FGRAMPH1_01T01991	Non-effector	0.942	 N-194
FGRAMPH1_01T02927	Non-effector	0.999	 F-177
FGRAMPH1_01T05009	Non-effector	0.878	 N-163
FGRAMPH1_01T05421	Non-effector	1	 N-181
FGRAMPH1_01T09999	Non-effector	1	 E-650
FGRAMPH1_01T10249	Non-effector	0.948	 D-184
FGRAMPH1_01T10519	Non-effector	0.998	 N-271
FGRAMPH1_01T10971	Non-effector	1	 N-487
FGRAMPH1_01T11597	Non-effector	0.999	 N-246
FGRAMPH1_01T11715	Non-effector	1	 N-169
FGRAMPH1_01T13197	Non-effector	1	 N-214
FGRAMPH1_01T16669	Non-effector	0.556	 N-131
FGRAMPH1_01T16773	Non-effector	0.999	 S-86
FGRAMPH1_01T17063	Non-effector	1	 S-475
FGRAMPH1_01T18795	Non-effector	1	 D-259
FGRAMPH1_01T18905	Non-effector	0.995	 N-179
FGRAMPH1_01T20363	Non-effector	1	 D-551
FGRAMPH1_01T23025	Non-effector	1	 S-339
FGRAMPH1_01T26375	Non-effector	0.981	 E-188
FGRAMPH1_01T27357	Non-effector	1	 A-269
FGRAMPH1_01T07461	Non-effector	1	 P-389
FGRAMPH1_01T12811	Non-effector	1	 V-635
FGRAMPH1_01T01499	Effector	0.947	 N-139
FGRAMPH1_01T07867	Non-effector	0.859	 N-189
FGRAMPH1_01T23171	Non-effector	0.995	 V-175
FGRAMPH1_01T05871	Non-effector	0.89	 S-281
FGRAMPH1_01T17957	Non-effector	1	 N-187
